0,000
0,126
0,252
0,378
0,504
0,630
0,756
0,882
1,008
1,134
1,260
1,409
1,558
1,707
1,856
2,005
2,154
2,303
2,452
2,601
2,750
2,911
3,072
3,233
3,394
3,555
3,716
3,877
4,038
4,199
4,360
4,531
4,702
4,873
5,044
5,215
5,386
5,557
5,728
5,899
6,070
6,240
6,410
6,580
6,750
6,920
7,090
7,260
7,430
7,600
7,770
7,938
8,106
8,274
8,442
8,610
8,778
8,946
9,114
9,282
9,450
9,616
9,782
9,948
10,114
10,280
10,446
10,612
10,778
10,944
11,110
11,274
11,438
11,602
11,766
11,930
12,094
12,258
12,422
12,586
12,750
12,910
13,070
13,230
13,390
13,550
13,710
13,870
14,030
14,190
14,350
14,506
14,662
14,818
14,974
15,130
15,286
15,442
15,598
15,754
15,900
16,062
16,214
16,366
16,518
16,670
16,822
16,974
17,126
17,278
17,430
17,578
17,726
17,874
18,022
18,170
18,318
18,466
18,614
18,762
18,910
19,053
19,196
19,339
19,482
19,625
19,768
19,911
20,054
20,197
20,340
20,478
20,616
20,754
20,892
21,030
21,168
21,306
21,444
21,582
21,720
21,856
21,988
22,120
22,252
22,384
22,516
22,648
22,780
22,912
23,040
23,166
23,292
23,418
23,544
23,670
23,796
23,922
24,048
24,174
24,300
24,420
24,540
24,660
24,780
24,900
25,020
25,140
25,260
25,380
25,500
25,640
25,754
25,868
25,982
26,096
26,210
26,324
26,438
26,552
26,640
26,748
26,856
26,964
27,072
27,180
27,288
27,396
27,504
27,612
27,720
27,832
27,944
28,056
28,168
28,280
28,392
28,504
28,616
28,728
28,840
