1	90,18
1,5	90,74
2	91,21
2,5	91,31
3	91,59
3,5	91,69
4	92,06
4,5	92,36
5	92,31
5,5	92,71
6	93
6,5	93,09
7	93,17
7,5	93,55
8	93,74
8,5	93,94
9	94,15
9,5	94,3
10	94,43
10,5	94,65
11	95
11,5	95,12
12	95,37
12,5	95,57
13	95,7
13,5	96,22
14	96,57
14,5	96,55
15	96,82
15,5	96,93
16	97,33
16,5	97,57
17	97,75
17,5	98,18
18	98,3
18,5	98,58
19	99,12
19,5	99,21
20	99,66
20,5	99,88
21	100,19
21,5	100,46
22	100,93
22,5	101,45
23	101,74
23,5	102,2
24	102,52
24,5	102,87
25	103,55
26	104,21
27	105,27
27,5	105,79
28,5	107,11
29	107,63
29,5	108,24
30	109
30,5	109,67
31	110,36
32	112,06
32,5	112,93
33	113,63
33,5	114,66
34	115,73
34,5	116,99
35	118,09
36	120,68
36,5	121,83
37	123,21
38	126,66
38,5	128,47
39,5	132,4
40	134,31
