0,5	80,81
0,6	81,248
0,7	81,644
0,8	82,024
0,9	82,157
1	82,465
1,1	82,749
1,2	82,938
1,3	82,693
1,4	83,435
1,5	83,015
1,6	83,679
1,7	83,774
1,8	83,835
1,9	83,812
2	83,779
2,1	84,006
2,2	84,535
2,3	85,028
2,4	84,714
2,5	84,836
2,6	85,162
2,7	85,512
2,8	85,512
2,9	85,748
3	85,702
3,1	86,047
3,2	85,574
3,3	85,724
3,4	86,175
3,5	86,394
3,6	86,355
3,7	86,759
3,8	86,733
3,9	87,479
4	86,748
4,2	88,082
4,3	87,486
4,4	87,513
4,5	87,981
4,6	88,282
4,7	88,702
4,8	87,996
4,9	87,907
5	88,372
5,1	88,447
5,2	89,026
5,3	88,756
5,4	89,075
5,5	89,154
5,6	89,106
5,7	90,369
5,8	89,634
5,9	89,617
6	90,035
6,1	89,794
6,2	90,292
6,3	89,988
6,4	90,82
6,5	90,108
6,6	90,123
6,7	90,536
6,8	91,342
6,9	90,77
7	91,592
7,1	90,934
7,2	91,515
7,3	91,297
7,4	91,71
7,5	91,484
7,6	92,547
7,7	91,736
7,8	91,923
7,9	92,35
8	92,363
8,1	92,928
8,2	92,664
8,3	92,81
8,4	92,692
8,5	92,914
8,6	93,049
8,7	93,404
8,8	93,415
8,9	93,408
9	94,363
9,1	94,175
9,2	94,07
9,3	94,121
9,4	94,397
9,5	94,864
9,6	94,838
9,7	95,081
9,8	94,487
9,9	94,674
10	95,149
10,1	95,464
10,2	94,736
10,3	95,643
10,4	95,094
10,5	96,001
10,6	96,02
10,7	96,348
10,8	96,339
10,9	97,027
11	96,293
11,1	96,045
11,2	96,337
11,3	97,229
11,4	97,202
11,5	97,397
11,6	97,496
11,7	98,289
11,8	97,829
11,9	97,721
12	97,579
12,1	98,734
12,2	97,944
12,3	98,271
12,4	97,869
12,5	98,312
12,6	98,184
12,7	99,281
12,8	98,759
12,9	99,196
13	98,65
13,1	99,031
13,2	99,069
13,3	98,908
13,4	99,739
13,5	99,842
13,6	99,701
13,7	100,266
13,8	100,405
13,9	100,698
14	100,562
14,1	100,935
14,2	100,486
14,3	100,851
14,4	100,824
14,5	101,077
14,6	101,135
14,7	101,602
14,8	101,526
14,9	101,027
15	101,727
15,1	102,387
15,2	101,976
15,3	102,503
15,4	102,24
15,5	102,263
15,6	102,852
15,7	102,847
15,8	102,541
15,9	103,608
16	102,332
16,1	103,281
16,2	103,634
16,3	103,204
16,4	103,842
16,5	103,432
16,6	103,774
16,7	104,022
16,8	103,903
16,9	104,367
17	103,78
17,1	104,324
17,2	104,527
17,3	104,447
17,4	103,768
17,5	104,705
17,6	104,925
17,7	104,548
17,8	105,42
17,9	105,318
18	105,518
18,1	105,995
18,2	105,281
18,3	105,583
18,4	106,569
18,5	106,32
18,6	105,666
18,7	106,494
18,8	105,967
18,9	106,431
19	107,079
19,1	106,754
19,2	106,804
19,3	106,672
19,4	107,243
19,5	107,584
19,6	107,808
19,7	107,102
19,8	107,487
19,9	107,8
20	107,544
20,1	108,184
20,2	108,006
20,3	107,724
20,4	107,868
20,5	108,42
20,6	108,549
20,7	108,382
20,8	108,721
20,9	108,925
21	109,174
21,1	109,512
21,2	110,402
21,3	109,216
21,4	109,614
21,5	109,717
21,6	109,531
21,7	109,163
21,8	110,136
21,9	109,979
22	110,164
22,2	110,591
22,3	111,282
22,4	110,818
22,5	110,735
22,7	110,87
22,8	111,23
22,9	111,204
23	111,52
23,1	111,773
23,3	110,972
23,5	112,053
23,6	112,271
23,7	112,481
23,8	112,607
23,9	112,684
24	112,555
24,1	112,506
24,2	113,725
24,3	113,078
24,4	113,386
24,5	113,559
24,6	113,152
24,7	114,012
24,8	113,352
24,9	114,069
25	114,215
25,1	114,348
25,2	114,295
25,3	114,358
25,4	114,443
25,6	114,938
25,7	114,4
25,8	114,919
25,9	116,262
26	115,224
26,1	115,64
26,3	115,25
26,4	116,231
26,6	115,486
26,7	116,236
26,8	116,578
26,9	116,811
27	116,666
27,1	116,333
27,2	116,456
27,3	116,567
27,5	117,452
27,7	117,121
27,8	117,966
27,9	118,469
28,1	118,256
28,2	118,197
28,3	117,481
28,5	118,07
28,6	118,382
28,7	118,707
28,9	119,717
29	119,352
29,1	119,219
29,3	119,104
29,4	119,475
29,5	119,03
29,6	120,073
29,7	120,111
29,8	119,569
29,9	120,288
30	120,941
30,2	119,699
30,3	120,449
30,4	120,665
30,5	121,625
30,7	121,32
30,8	121,191
30,9	121,633
31	121,258
31,1	122,785
31,2	122,384
31,3	121,805
31,4	122,876
31,6	122,195
31,7	122,517
31,8	122,822
31,9	123,509
