1,5	89,53
2	89,58
2,5	89,75
3	89,92
3,5	89,94
4	90,15
4,5	90,23
5	90,26
5,5	90,35
6	90,24
6,5	90,38
7	90,69
7,5	90,61
8	90,55
8,5	90,61
9	90,79
9,5	90,91
10	90,86
10,5	90,89
11	90,83
11,5	91,02
12	91,04
12,5	91,16
13	91,06
13,5	91,11
14	91,23
14,5	91,15
15	91,43
15,5	91,52
16	91,48
16,5	91,59
17	91,56
17,5	91,73
18	91,81
18,5	91,91
19	91,88
19,5	92,05
20	92
