3	68,535
3,1	68,593
3,2	69,467
3,3	69,911
3,4	70,201
3,5	70,281
3,6	70,674
3,7	70,887
3,8	71,369
3,9	71,457
4	71,618
4,2	72,348
4,3	72,58
4,4	72,85
4,5	73,025
4,6	73,211
4,7	73,304
4,8	73,734
4,9	73,733
5	73,822
5,1	74,022
5,2	74,06
5,3	74,33
5,4	74,528
5,5	74,511
5,6	74,937
5,7	74,993
5,8	75,038
5,9	75,183
6	75,309
6,1	75,399
6,2	75,42
6,3	75,902
6,4	75,76
6,5	75,851
6,6	76,13
6,7	75,939
6,8	76,125
6,9	76,017
7	76,439
7,1	76,334
7,2	76,436
7,3	76,548
7,4	76,57
7,5	77,009
7,6	76,825
7,7	76,927
7,8	77,199
7,9	76,889
8	76,989
